trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
43,LONG,6740,6750,132.264,127.84,-4.42397,11.29
44,LONG,7000,7010,132.274,133.362,1.08817,12.3782
45,LONG,7200,7210,129.255,125.941,-3.31319,9.06496
46,LONG,7320,7330,117.133,115.534,-1.59913,7.46583
47,LONG,7490,7500,91.3482,94.2234,2.87511,10.3409
48,LONG,7530,7540,99.3182,100.932,1.61393,11.9549
49,LONG,7630,7640,106.268,106.241,-0.0263509,11.9285
50,LONG,7750,7760,102.5,104.888,2.38736,14.3159
51,LONG,7840,7850,105.249,104.578,-0.670598,13.6453
52,LONG,8110,8120,102.291,101.371,-0.920243,12.725
53,LONG,8170,8180,102.123,100.664,-1.45893,11.2661
54,LONG,8200,8210,99.6953,100.95,1.25516,12.5213
55,LONG,8470,8480,96.0034,97.4931,1.48963,14.0109
56,LONG,8500,8510,99.5631,99.9673,0.404164,14.4151
57,LONG,8530,8540,101.219,103.978,2.75836,17.1734
58,LONG,8590,8600,98.8808,101.77,2.88893,20.0624
59,LONG,8620,8630,104.661,105.174,0.512968,20.5753
60,LONG,8680,8690,104.942,106.121,1.17966,21.755
61,LONG,8890,8900,97.719,98.7317,1.01268,22.7677
62,LONG,8910,8920,100.685,97.7659,-2.91864,19.849
63,LONG,8960,8970,103.71,102.832,-0.878264,18.9708
64,LONG,9070,9080,103.831,104.414,0.582949,19.5537
65,LONG,9080,9090,104.384,101.171,-3.2129,16.3408
66,LONG,9280,9290,93.6431,95.0029,1.35982,17.7006
67,LONG,9590,9600,81.8351,83.7467,1.91157,19.6122
68,LONG,9620,9630,84.1117,85.0284,0.916766,20.529
69,LONG,9720,9730,88.7526,90.1581,1.40553,21.9345
70,LONG,9780,9790,93.422,95.655,2.23306,24.1676
71,LONG,9880,9890,95.4786,96.8845,1.40581,25.5734
72,LONG,10110,10120,89.0317,88.9073,-0.124383,25.449
73,LONG,10150,10160,88.7766,88.8709,0.0943432,25.5433
74,LONG,10180,10190,89.0119,89.5752,0.563319,26.1067
75,LONG,10320,10330,82.8033,81.1124,-1.69093,24.4157
76,LONG,10600,10610,88.0705,88.7627,0.692181,25.1079
77,LONG,10710,10720,89.9463,90.3467,0.400381,25.5083
78,LONG,10940,10950,116.563,116.332,-0.230937,25.2774
79,LONG,11050,11060,127.908,129.446,1.53807,26.8154
80,LONG,11090,11100,128.919,132.297,3.37787,30.1933
81,LONG,11280,11290,124.228,126.773,2.54551,32.7388
82,LONG,11340,11350,117.175,115.37,-1.8056,30.9332
83,LONG,11360,11370,110.461,112.605,2.14327,33.0765
84,LONG,11700,11710,113.417,115.932,2.5158,35.5923
85,LONG,11750,11760,117.508,116.712,-0.795885,34.7964
86,LONG,11800,11810,119.035,119.466,0.430474,35.2269
87,LONG,11850,11860,121.689,123.096,1.40631,36.6332
88,LONG,12030,12040,126.514,128.092,1.57751,38.2107
89,LONG,12070,12080,126.241,129.979,3.73756,41.9483
90,LONG,12350,12360,118.546,114.633,-3.91264,38.0356
91,LONG,12390,12400,117.356,119.662,2.30585,40.3415
92,LONG,12410,12420,120.129,119.45,-0.679503,39.662
93,LONG,12510,12520,121.386,121.102,-0.283679,39.3783
94,LONG,12710,12720,106.728,106.164,-0.563943,38.8143
95,LONG,12750,12760,107.66,109.599,1.93954,40.7539
96,LONG,12840,12850,100.822,101.742,0.920485,41.6744
97,LONG,13090,13100,102.417,104.651,2.23441,43.9088
98,LONG,13320,13330,100.231,102.957,2.72577,46.6346
99,LONG,13340,13350,102.037,103.244,1.20656,47.8411
100,LONG,13480,13490,107.048,107.244,0.195818,48.0369
101,LONG,13720,13730,105.547,104.474,-1.07361,46.9633
102,LONG,13820,13830,94.5097,93.6951,-0.814574,46.1488
103,LONG,13850,13860,94.6831,91.877,-2.80605,43.3427
104,LONG,13930,13940,93.6753,95.4748,1.7994,45.1421
105,LONG,14080,14090,97.3963,97.0975,-0.29877,44.8433
106,LONG,14240,14250,106.16,106.621,0.461203,45.3045
107,LONG,14490,14500,105.68,106.97,1.29012,46.5947
108,LONG,14580,14590,98.3101,101.888,3.57781,50.1725
109,LONG,14640,14650,94.625,96.2583,1.63329,51.8058
110,LONG,14670,14680,93.5891,92.9514,-0.637739,51.168
111,LONG,14830,14840,93.2122,92.4511,-0.761186,50.4068
112,LONG,14880,14890,94.5639,91.2417,-3.32222,47.0846
113,LONG,15360,15370,96.8841,93.867,-3.0171,44.0675
114,LONG,15480,15490,100.528,100.195,-0.332687,43.7348
115,LONG,15540,15550,103.026,101.111,-1.91517,41.8197
116,LONG,15550,15560,101.081,99.7893,-1.29127,40.5284
117,LONG,15710,15720,104.466,104.495,0.0290767,40.5575
118,LONG,15860,15870,102.83,104.976,2.14596,42.7034
119,LONG,15880,15890,102.547,102.49,-0.0572388,42.6462
120,LONG,15900,15910,102.792,102.054,-0.738104,41.9081
121,LONG,15980,15990,103.425,100.978,-2.44652,39.4616
122,LONG,16080,16090,103.827,106.252,2.42447,41.886
123,LONG,16580,16590,115.299,114.018,-1.281,40.605
124,LONG,16610,16620,112.743,112.735,-0.00775128,40.5973
125,LONG,16820,16830,102.028,104.322,2.2941,42.8914
126,LONG,16840,16850,106.368,101.514,-4.85402,38.0374
127,LONG,16890,16900,97.9455,97.5672,-0.378371,37.659
128,LONG,16950,16960,94.8868,93.3879,-1.49888,36.1601
129,LONG,17030,17040,91.2441,91.2118,-0.0322919,36.1278
130,LONG,17080,17090,90.3908,92.0699,1.67904,37.8069
131,LONG,17240,17250,92.1378,92.5685,0.430727,38.2376
132,LONG,17470,17480,88.4945,86.8752,-1.61934,36.6182
133,LONG,17560,17570,92.2032,92.9233,0.720053,37.3383
134,LONG,17570,17580,92.8923,93.5975,0.705217,38.0435
135,LONG,17590,17600,93.7639,93.6273,-0.136677,37.9068
136,LONG,17740,17750,105.895,101.854,-4.04113,33.8657
137,LONG,18030,18040,109.051,110.65,1.59858,35.4643
138,LONG,18150,18160,112.081,108.847,-3.23408,32.2302
139,LONG,18300,18310,112.307,112.451,0.143597,32.3738
140,LONG,18330,18340,113.125,113.336,0.210743,32.5846
141,LONG,18430,18440,103.556,104.048,0.491952,33.0765
142,LONG,18600,18610,95.2898,96.3145,1.02469,34.1012
143,LONG,18620,18630,99.416,101.844,2.428,36.5292
144,LONG,18750,18760,99.9681,98.4324,-1.53571,34.9935
145,LONG,18960,18970,103.063,106.555,3.49184,38.4853
146,LONG,19110,19120,111.332,111.146,-0.186407,38.2989
147,LONG,19120,19130,111.111,109.128,-1.98259,36.3163
148,LONG,19210,19220,101.614,100.896,-0.717847,35.5985
149,LONG,19400,19410,93.5673,95.8097,2.24245,37.8409
150,LONG,19670,19680,98.3269,95.2476,-3.07924,34.7617
151,LONG,19830,19840,88.636,85.853,-2.78305,31.9786
152,LONG,19850,19860,83.3916,82.536,-0.8556,31.123
153,LONG,19920,19930,84.1288,86.7744,2.64565,33.7687
154,LONG,20040,20050,84.7002,82.8633,-1.83686,31.9318
155,LONG,20160,20170,76.1893,78.4406,2.25133,34.1832
156,LONG,20270,20280,72.8847,72.7948,-0.0899823,34.0932
157,LONG,20290,20300,71.8162,71.2419,-0.574243,33.5189
158,LONG,20390,20400,71.3187,72.524,1.20529,34.7242
159,LONG,20430,20440,69.8962,70.6838,0.787593,35.5118
160,LONG,20470,20480,71.5367,71.1807,-0.356038,35.1558
161,LONG,20630,20640,71.0591,71.5062,0.447133,35.6029
162,LONG,20660,20670,71.3609,71.5362,0.175261,35.7782
163,LONG,20730,20740,72.981,75.1007,2.11966,37.8978
164,LONG,20920,20930,79.304,78.8373,-0.466725,37.4311
165,LONG,21090,21100,88.494,89.1363,0.642306,38.0734
166,LONG,21130,21140,89.7429,89.1803,-0.562572,37.5108
167,LONG,21250,21260,83.0737,84.8569,1.78317,39.294
168,LONG,21260,21270,84.8254,81.9773,-2.84807,36.4459
169,LONG,21400,21410,80.5232,83.4718,2.94858,39.3945
170,LONG,21670,21680,88.3685,86.1038,-2.26466,37.1298
171,LONG,21800,21810,83.5315,84.9438,1.41227,38.5421
172,LONG,21890,21900,79.8024,78.4987,-1.30378,37.2383
173,LONG,22190,22200,83.1446,82.7026,-0.441999,36.7963
174,LONG,22270,22280,83.2885,82.5192,-0.76929,36.027
175,LONG,22280,22290,82.4867,82.8574,0.370682,36.3977
176,LONG,22450,22460,86.9899,87.5391,0.549185,36.9469
177,LONG,22480,22490,91.1603,91.677,0.516779,37.4637
178,LONG,22660,22670,84.1059,86.6589,2.55291,40.0166
179,LONG,22680,22690,86.3788,85.9325,-0.446338,39.5703
180,LONG,22720,22730,84.2586,83.967,-0.291636,39.2786
181,LONG,23000,23010,89.6351,91.8507,2.21555,41.4942
182,LONG,23280,23290,112.272,111.121,-1.15072,40.3435
183,LONG,23310,23320,108.819,111.177,2.35846,42.7019
184,LONG,23410,23420,120.549,121.986,1.43687,44.1388
185,LONG,23470,23480,119.14,116.612,-2.52825,41.6105
186,LONG,23480,23490,116.581,111.343,-5.23839,36.3721
187,LONG,23550,23560,103.538,104.686,1.14861,37.5208
188,LONG,23670,23680,111.483,111.123,-0.36058,37.1602
189,LONG,23680,23690,111.088,111.646,0.55847,37.7186
190,LONG,23820,23830,134.613,139.277,4.66386,42.3825
191,LONG,23880,23890,144.935,144.372,-0.563559,41.819
192,LONG,23890,23900,144.339,145.062,0.722756,42.5417
193,LONG,23970,23980,145.123,144.44,-0.683007,41.8587
194,LONG,24110,24120,150.201,153.983,3.78209,45.6408
195,LONG,24350,24360,154.036,156.497,2.46156,48.1023
196,LONG,24400,24410,149.293,150.52,1.22728,49.3296
197,LONG,24430,24440,142.584,140.678,-1.90598,47.4236
198,LONG,24450,24460,139.554,137.372,-2.18173,45.2419
199,LONG,24620,24630,131.997,126.822,-5.17547,40.0664
200,LONG,24680,24690,132.151,139.053,6.9026,46.969
201,LONG,24800,24810,136.671,137.401,0.730249,47.6993
202,LONG,24830,24840,128.939,131.651,2.71235,50.4116
