trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
98,LONG,68510,69920,5728.26,6769.03,1040.77,-3672.62
99,SHORT,70800,71070,7904.09,7579.95,324.136,-3348.48
100,SHORT,71440,71450,7947,8340.49,-393.486,-3741.97
101,SHORT,71610,71740,8513.2,9395.84,-882.639,-4624.61
102,SHORT,71770,71980,9243.65,9322.89,-79.233,-4703.84
103,SHORT,72290,72680,10200.6,9410.06,790.528,-3913.31
104,SHORT,73600,73870,10223.9,10749.4,-525.572,-4438.89
105,SHORT,73970,74620,10931.9,11178.2,-246.251,-4685.14
106,SHORT,74800,75120,11748.2,11872.9,-124.692,-4809.83
107,SHORT,75470,75520,11959.2,12890,-930.761,-5740.59
108,SHORT,75600,75870,12324.9,12647,-322.123,-6062.71
109,SHORT,75940,76260,12817.7,13274.2,-456.501,-6519.21
110,SHORT,76280,76960,13253.1,10961.7,2291.43,-4227.78
111,SHORT,77390,77440,12607.6,13948.1,-1340.54,-5568.32
112,SHORT,77670,78270,14735.2,12434,2301.21,-3267.12
113,LONG,80170,80470,7008.42,6966.65,-41.7636,-3308.88
114,LONG,80950,81360,5779.6,5148.64,-630.966,-3939.85
115,SHORT,82030,82260,6628.57,7211.93,-583.356,-4523.2
116,LONG,83670,84190,5840.79,6063.09,222.306,-4300.9
117,LONG,85080,85310,4946.91,4812.91,-134.002,-4434.9
118,LONG,85450,85650,4445.01,4745.46,300.447,-4134.45
119,LONG,86690,86860,4286.62,4174.36,-112.264,-4246.72
120,LONG,86980,88610,4073.36,6507.76,2434.4,-1812.32
121,LONG,88980,90470,5312.01,6262.55,950.544,-861.772
122,SHORT,90780,90980,7096.83,7912.6,-815.771,-1677.54
123,SHORT,91140,91900,8559.9,8497.49,62.4107,-1615.13
124,LONG,92380,92790,6582.51,7651,1068.49,-546.644
125,SHORT,93700,93810,9382.78,10133.5,-750.76,-1297.4
126,SHORT,94160,94620,10302.3,10227.1,75.258,-1222.15
127,SHORT,94670,95000,10225.3,9909.11,316.163,-905.984
128,SHORT,95160,95260,10385.2,11080.5,-695.317,-1601.3
129,SHORT,95460,95540,11521.3,12686.9,-1165.66,-2766.96
130,SHORT,95570,95690,12412.5,13680,-1267.49,-4034.45
131,LONG,96790,97130,9329.02,8685.54,-643.473,-4677.93
132,LONG,97980,98210,8243.09,7912.49,-330.603,-5008.53
133,SHORT,98900,99690,8689.55,8279.75,409.798,-4598.73
